"Property ID","CKAN API property name","Schema Name English","Schema Name French","Requirement","Occurrences","Reference","Value Type","FGP XPATH"
"58h","58h-distributor.fr","Distributor (French) - electronicMailAddress","Distributeur (français) - electronicMailAddress","M","S","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"58i","58i-distributor.fr","Distributor (French) - role","Distributeur (français) - role","M","S","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCodcodeListValue"
"59","59-status","Status","État","M","S","CL 1.3.18","attribute","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:status/gmd:MD_ProgressCode"
"60","60-association_type","Association Type","Type association","O","R","CL 1.3.19","attribute","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:associationType/gmd:DS_AssociationTypeCode"
"61","61-aggregate_identifier","Aggregate Dataset Identifier","Identifiant jeu données aggrégées","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:aggregateDataSetIdentifier/gmd:MD_Identifier/gmd:code/gco:CharacterString"
"62","62-spatial_representation_type","Spatial Representation Type","Type représentation spatiale","M","R","CL 1.3.14","attribute","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode"
"63","63-jurisdiction","Jurisdiction","Juridiction","M","S","CL 1.3.8","fixed","Federal / Fédéral"
"64","64-licence_id","Licence","Licence","M","S","CL 1.3.9","fixed","ca-ogl-lgo"
"65","65-unique_identifier","Unique Identifier","Identificateur unique","O","S","Free text","",""
"66","66-67-name_translated","Title (English)","Titre (anglais)","M","S","Free text","value","gmd:name/gco:CharacterString"
"67","67-name_translated.fr","Title (French)","Titre (français)","M","S","Free text","value","gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
"68","68-date_published","Date Published","Date de publication ","O","S","YYYY-MM-DD","excluded","Not in HNAP, we can skip"
"69-70-73","69-70-73","description-hack","description-hack","M","S","","value","gmd:description/gco:CharacterString"
"69","69-resource_type","Resource Type","Type de content","M","S","CL 1.3.10","",""
"70","70-format","Format","Format","M","S","CL 1.3.11","",""
"71","71-undefined","Character Set","Jeu de caractères ","O","S","Free text","excluded","Not in HNAP, we can skip"
"72","72-size","Size","Taille","O","S","Free text","excluded","Not in HNAP, we can skip"
"73","73-language","Language","Langue","M","S","CL 1.3.10","",""
"74","74-url","Download URL","URL de téléchargement","M","S","URL","value","gmd:linkage/gmd:URL"
"75","75-76-name","Title (English)","Titre (anglais)","O","S","Free-text","value","gmd:name/gco:CharacterString"
"76","76-name.fr","Title (French)","Titre (français)","O","S","Free-text","value","gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString"
