"Property ID","CKAN API property name","Schema Name English","Schema Name French","Requirement","Occurrences","Reference","Value Type","FGP XPATH","RegEx Filter"
"16b","owner_org-alternate","Publisher - Current Organization Name","Éditeur - organisation titre actuel","M","R","CL 1.3.4","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"17","org_title_at_publication","Publisher - Organization Name at Publication (English)","Éditeur - organisation titre lors de la publication (anglais)","M","S","Free text","CKAN defined/provided","",""
"18","org_title_at_publication.fr","Publisher - Organization Name at Publication (French)","Éditeur - organisation titre lors de la publication (français)","M","S","Free text","CKAN defined/provided","",""
"19","undefined","Publisher -Organization Section Name (English)","Éditeur - organisation nom de la section (anglais)","O","S","Free text","CKAN defined/provided","",""
"20","undefined","Publisher - Organization Section Name (French)","Éditeur - organisation nom de la section (français)","O","S","Free text","CKAN defined/provided","",""
"21","creator","Creator","Créateur","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:individualName/gco:CharacterString",""
"22","contributor","Contributor (English)","Contributeur (anglais)","O","R","Free text","","",""
"23","contributor.fr","Contributor (French)","Contributeur (francais)","O","R","Free text","","",""
"24","position_name","Position Name (English)","Nom position (anglais)","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:positionName/gco:CharacterString",""
"25","position_name.fr","Position Name (French)","Nom position (français)","O","S","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:positionName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"26","responsible_role","Role","Rôle","M","S","CL 1.3.17","attribute","gmd:contact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCode",""
"27","27-undefined","","","","","","","",""
"28","28-undefined","","","","","","","",""
"29","contact_information","Contact Information (English)","Information contact (anglais)","M","S","Free text","","",""
"29a","contact_information — deliveryPoint","Contact Information (English) — deliveryPoint","Information contact (anglais) — deliveryPoint","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gco:CharacterString",""
"29b","contact_information — city","Contact Information (English) — city","Information contact (anglais) — city","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gco:CharacterString",""
"29c","contact_information — administrativeArea","Contact Information (English) — administrativeArea","Information contact (anglais) — administrativeArea","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gco:CharacterString",""
"29d","contact_information — postalCode","Contact Information (English) — postalCode","Information contact (anglais) — postalCode","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gco:CharacterString",""
"29e","contact_information — country","Contact Information (English) — country","Information contact (anglais) — country","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gco:CharacterString",""
"29f","contact_information — electronicMailAddress","Contact Information (English) — electronicMailAddress","Information contact (anglais) — electronicMailAddress","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString",""
"30","contact_information.fr","Contact Information (French)","Information contact (français)","M","S","Free text","","",""
"30a","contact_information.fr — deliveryPoint","Contact Information (French) — deliveryPoint","Information contact (français) — deliveryPoint","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"30b","contact_information.fr — city","Contact Information (French) — city","Information contact (français) — city","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"30c","contact_information.fr — administrativeArea","Contact Information (French) — administrativeArea","Information contact (français) — administrativeArea","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"30d","contact_information.fr — postalCode","Contact Information (French) — postalCode","Information contact (français) — postalCode","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"30e","contact_information.fr — country","Contact Information (French) — country","Information contact (français) — country","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"30f","contact_information.fr — electronicMailAddress","Contact Information (French) — electronicMailAddress","Information contact (français) — electronicMailAddress","O","R","Free text","value","gmd:contact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"31","maintainer_email","Contact Email","Adresse électronique du contact","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:citedResponsibleParty/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString",""
"32","notes_translated","Description (English)","Description (anglais)","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gco:CharacterString",""
"33","notes_translated.fr","Description (French)","Description (français)","M","S","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:abstract/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"34","keywords","Keywords (English)","Mots clés (anglais)","M","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gco:CharacterString","^[\w \-_./;>+&]*$"
"35","keywords.fr","Keywords (French)","Mots clés (français)","M","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:descriptiveKeywords/gmd:MD_Keywords/gmd:keyword/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString","^[\w \-_./;>+&]*$"
"36","subject","Subject","Sujet","M","R","CL 1.3.5","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode",""
"37","topic_category","Topic Category","Catégorie thématique","M","R","CL 1.3.16","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:topicCategory/gmd:MD_TopicCategoryCode",""
"38","audience","Audience","Audience ","O","R","CL 1.3.22","excluded","TBS: Not in HNAP, we can skip",""
"39","place_of_publication","Place of Publication (English) ","Place de publication (anglais)","O","R","Free text","excluded","Not in HNAP, we can skip",""
"40","place_of_publication.fr","Place of Publication (French)","Place de publication (français)","O","R","Free text","excluded","Not in HNAP, we can skip",""
"41","spatial","Spatial","Élement spatial","O","R","Free text","","",""
"41n","spatial-n","Spatial-North","Élement spatial","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:northBoundLatitude/gco:Decimal",""
"41s","spatial-s","Spatial-South","Élement spatial","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:southBoundLatitude/gco:Decimal",""
"41e","spatial-e","Spatial-East","Élement spatial","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:eastBoundLongitude/gco:Decimal",""
"41w","spatial-w","Spatial-West","Élement spatial","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:geographicElement/gmd:EX_GeographicBoundingBox/gmd:westBoundLongitude/gco:Decimal",""
"42","geographic_region","Geographic Region Name","Nom du région géographique","O","R","CL 1.3.6","excluded","Not in HNAP, we can skip (the only providing the bounding box, not the region name)",""
"43","time_period_coverage_start","Time Period Coverage Start Date","Couverture de la période de temps - date de début","O","S","YYYY-MM-DD","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:temporalElement/gmd:EX_TemporalExtent/gmd:extent/gml:TimePeriod/gml:beginPosition",""
"44","time_period_coverage_end","Time Period Coverage End Date","Couverture de la période de temps - date de fin","O","S","YYYY-MM-DD","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:extent/gmd:EX_Extent/gmd:temporalElement/gmd:EX_TemporalExtent/gmd:extent/gml:TimePeriod/gml:endPosition",""
"45","frequency","Maintenance and Update Frequency","Fréquence mise à jour","M","S","CL 1.3.7","attribute","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:resourceMaintenance/gmd:MD_MaintenanceInformation/gmd:maintenanceAndUpdateFrequency/gmd:MD_MaintenanceFrequencyCode",""
"46","date_published","Date Published","Date de publication ","O","S","YYYY-MM-DD","manual","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date/gmd:CI_Date",""
"47","date_modified","Date Modified","Date de modification ","M","S","YYYY-MM-DD","manual","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:citation/gmd:CI_Citation/gmd:date/gmd:CI_Date",""
"48","portal_release_date","Date Released","Date de sortie","M","S","YYYY-MM-DD","system generated","",""
"49","program_page_url","Homepage URL (English)","URL de la page d'accueil (anglais)","O","S","URL","excluded","Not in HNAP, we can skip",""
"50","program_page_url.fr","Homepage URL (French)","URL de la page d'accueil (français)","O","S","URL","excluded","Not in HNAP, we can skip",""
"51","data_series_name","Series Name (English)","Nom de la série (anglais)","O","S","Free text","excluded","Not in HNAP, we can skip",""
"52","data_series_name.fr","Series Name (French) ","Nom de la série (français)","O","S","Free text","excluded","Not in HNAP, we can skip",""
"53","data_series_issue_identification","Series Issue Identification (English)","Identificateur du numéro de série (anglais)","O","S","Free text","excluded","Not in HNAP, we can skip",""
"54","data_series_issue_identification","Series Issue Identification (French)","Identificateur du numéro de série (français)","O","S","Free text","excluded","Not in HNAP, we can skip",""
"55","digital_object_identifier","Digital Object Identifier","Identificateur d'objet numérique","O","S","Free text","excluded","Not in HNAP, we can skip",""
"56","reference_system_information","Reference System Information","Information système référence","M","S","Free text","","",""
"56a","reference_system_information-code","Reference System Information-code","Information système référence","M","S","Free text","value","gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier/gmd:RS_Identifier/gmd:code/gco:CharacterString",""
"56b","reference_system_information-codeSpace","Reference System Information-codeSpace","Information système référence","M","S","Free text","value","gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier/gmd:RS_Identifier/gmd:codeSpace/gco:CharacterString",""
"56c","reference_system_information-version","Reference System Information-version","Information système référence","M","S","Free text","value","gmd:referenceSystemInfo/gmd:MD_ReferenceSystem/gmd:referenceSystemIdentifier/gmd:RS_Identifier/gmd:version/gco:CharacterString",""
"57","distributor","Distributor (English)","Distributeur (anglais)","M","S","Free text","","",""
"57a","distributor","Distributor (English) - orgName","Distributeur (anglais) - orgName","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:organisationName/gco:CharacterString",""
"57b","distributor","Distributor (English) - phone","Distributeur (anglais) - phone","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:voice/gco:CharacterString",""
"57c","distributor","Distributor (English) - address","Distributeur (anglais) - address","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gco:CharacterString",""
"57d","distributor","Distributor (English) - city","Distributeur (anglais) - city","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gco:CharacterString",""
"57e","distributor","Distributor (English) - administrativeArea","Distributeur (anglais) - administrativeArea","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gco:CharacterString",""
"57f","distributor","Distributor (English) - postalCode","Distributeur (anglais) - postalCode","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gco:CharacterString",""
"57g","distributor","Distributor (English) - country","Distributeur (anglais) - country","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gco:CharacterString",""
"57h","distributor","Distributor (English) - electronicMailAddress","Distributeur (anglais) - electronicMailAddress","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gco:CharacterString",""
"57i","distributor","Distributor (English) - role","Distributeur (anglais) - role","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCodcodeListValue",""
"58","distributor.fr","Distributor (French) - orgName","Distributeur (français) - orgName","M","S","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58a","distributor.fr","Distributor (French) - orgName","Distributeur (français) - orgName","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:organisationName/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58b","distributor.fr","Distributor (French) - phone","Distributeur (français) - phone","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:phone/gmd:CI_Telephone/gmd:voice/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58c","distributor.fr","Distributor (French) - address","Distributeur (français) - address","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:deliveryPoint/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58d","distributor.fr","Distributor (French) - city","Distributeur (français) - city","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:city/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58e","distributor.fr","Distributor (French) - administrativeArea","Distributeur (français) - administrativeArea","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:administrativeArea/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58f","distributor.fr","Distributor (French) - postalCode","Distributeur (français) - postalCode","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:postalCode/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58g","distributor.fr","Distributor (French) - country","Distributeur (français) - country","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:country/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58h","distributor.fr","Distributor (French) - electronicMailAddress","Distributeur (français) - electronicMailAddress","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:contactInfo/gmd:CI_Contact/gmd:address/gmd:CI_Address/gmd:electronicMailAddress/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"58i","distributor.fr","Distributor (French) - role","Distributeur (français) - role","O","R","Free text","value","gmd:distributionInfo/gmd:MD_Distribution/gmd:distributor/gmd:MD_Distributor/gmd:distributorContact/gmd:CI_ResponsibleParty/gmd:role/gmd:CI_RoleCodcodeListValue",""
"59","status","Status","État","M","S","CL 1.3.18","attribute","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:status/gmd:MD_ProgressCode",""
"60","association_type","Association Type","Type association","O","R","CL 1.3.19","attribute","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:associationType/gmd:DS_AssociationTypeCode",""
"61","aggregate_identifier","Aggregate Dataset Identifier","Identifiant jeu données aggrégées","O","R","Free text","value","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:aggregationInfo/gmd:MD_AggregateInformation/gmd:aggregateDataSetIdentifier/gmd:MD_Identifier/gmd:code/gco:CharacterString",""
"62","spatial_representation_type","Spatial Representation Type","Type représentation spatiale","M","R","CL 1.3.14","attribute","gmd:identificationInfo/gmd:MD_DataIdentification/gmd:spatialRepresentationType/gmd:MD_SpatialRepresentationTypeCode",""
"63","jurisdiction","Jurisdiction","Juridiction","M","S","CL 1.3.8","fixed","federal",""
"64","license_id","Licence","Licence","M","S","CL 1.3.9","fixed","ca-ogl-lgo",""
"65","unique_identifier","Unique Identifier","Identificateur unique","O","S","Free text","","",""
"66","name_translated","Title (English)","Titre (anglais)","M","S","Free text","value","gmd:name/gco:CharacterString",""
"67","name_translated.fr","Title (French)","Titre (français)","M","S","Free text","value","gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"68","date_published","Date Published","Date de publication ","O","S","YYYY-MM-DD","excluded","Not in HNAP, we can skip",""
"69-70-73","69-70-73-description","description-hack","description-hack","M","S","","value","gmd:description/gco:CharacterString",""
"69","resource_type","Resource Type","Type de content","M","S","CL 1.3.10","","",""
"70","format","Format","Format","M","S","CL 1.3.11","","",""
"71","71-undefined","Character Set","Jeu de caractères ","O","S","Free text","excluded","Not in HNAP, we can skip",""
"72","size","Size","Taille","O","S","Free text","excluded","Not in HNAP, we can skip",""
"73","language","Language","Langue","M","S","CL 1.3.10","","",""
"74","url","Download URL","URL de téléchargement","M","S","URL","value","gmd:linkage/gmd:URL",""
"75","name","Title (English)","Titre (anglais)","O","S","Free-text","value","gmd:name/gco:CharacterString",""
"76","name.fr","Title (French)","Titre (français)","O","S","Free-text","value","gmd:name/gmd:PT_FreeText/gmd:textGroup/gmd:LocalisedCharacterString",""
"77","77-related_record","Record Type ","Type de record","O","S","CL 1.3.20","excluded","TBS: Not in HNAP, we can skip",""
"78","78-undefined","Relationship Type","Type de relation","O","S","CL 1.3.25","excluded","TBS: Not in HNAP, we can skip",""
"79","79-undefined","Language","Langue","O","S","CL 1.3.13","excluded","TBS: Not in HNAP, we can skip",""
"80","80-undefined","Record URL","URL de l'enregistrement","O","S","URL","excluded","TBS: Not in HNAP, we can skip",""
